Y,Z,um,vm,wm,uu,vv,ww,uv,uw,vw
uBulk = 0.48196	 
-6.1232e-17,-6.1232e-17,0.63847,-9.2047e-05,0.00025079,0.00078245,0.000482,0.00048778,5.5774e-06,-8.0942e-06,6.1577e-07
-6.1232e-17,0.032719,0.63808,-7.8306e-05,0.00027056,0.00078683,0.00048503,0.00049226,3.7588e-05,-7.5139e-06,3.0083e-07
-6.1232e-17,0.065403,0.63722,-6.9461e-05,0.00027073,0.00080298,0.00048995,0.00050012,7.0328e-05,-6.6518e-06,-2.2562e-07
-6.1232e-17,0.098017,0.63591,-7.3804e-05,0.00025905,0.00083212,0.00049645,0.00051059,0.00010368,-6.3061e-06,-1.0619e-06
-6.1232e-17,0.13053,0.63414,-0.00010287,0.00024286,0.00087479,0.00050449,0.00052425,0.00013783,-7.0359e-06,-1.7403e-06
-6.1232e-17,0.1629,0.6319,-0.00016678,0.00022812,0.00093186,0.0005144,0.00054345,0.00017299,-8.5149e-06,-2.105e-06
-6.1232e-17,0.19509,0.62919,-0.00026625,0.00021278,0.0010035,0.00052659,0.00056871,0.00020913,-1.0266e-05,-2.3738e-06
-6.1232e-17,0.22708,0.62599,-0.00039768,0.00019915,0.0010879,0.00054089,0.00059845,0.00024595,-1.116e-05,-2.7298e-06
-6.1232e-17,0.25882,0.62231,-0.00056074,0.00019901,0.0011818,0.0005568,0.00063248,0.00028336,-1.0758e-05,-3.3589e-06
-6.1232e-17,0.29028,0.61816,-0.00075817,0.00021766,0.0012837,0.00057422,0.00067111,0.00032177,-1.0748e-05,-4.0628e-06
-6.1232e-17,0.32144,0.6136,-0.00098811,0.00023779,0.0013929,0.00059322,0.00071391,0.00036148,-1.1127e-05,-4.5623e-06
-6.1232e-17,0.35225,0.60864,-0.0012438,0.00024165,0.0015084,0.000614,0.00076014,0.00040206,-1.1874e-05,-5.0378e-06
-6.1232e-17,0.38268,0.60334,-0.0015176,0.00020041,0.0016287,0.0006365,0.00080924,0.0004428,-1.2671e-05,-5.3841e-06
-6.1232e-17,0.41271,0.59771,-0.001805,0.00010355,0.0017518,0.00066065,0.00086185,0.00048306,-1.2834e-05,-4.9884e-06
-6.1232e-17,0.44229,0.59179,-0.0020963,-3.2184e-05,0.0018781,0.0006866,0.00091696,0.00052216,-1.2336e-05,-4.0559e-06
-6.1232e-17,0.4714,0.58561,-0.0023809,-0.00017944,0.00201,0.00071404,0.00097269,0.00056005,-1.1654e-05,-3.1427e-06
-6.1232e-17,0.5,0.57921,-0.002654,-0.00030285,0.0021491,0.00074215,0.001028,0.00059711,-1.1891e-05,-2.3141e-06
-6.1232e-17,0.52807,0.57266,-0.0029135,-0.00037693,0.0022955,0.00076997,0.0010818,0.00063402,-1.3277e-05,-1.1276e-06
-6.1232e-17,0.55557,0.56601,-0.0031488,-0.00039015,0.0024499,0.00079662,0.0011339,0.00067019,-1.6043e-05,1.942e-08
-6.1232e-17,0.58248,0.55928,-0.0033463,-0.00035685,0.0026143,0.00082103,0.0011839,0.00070449,-1.9755e-05,8.0231e-07
-6.1232e-17,0.60876,0.55247,-0.0034959,-0.00030696,0.00279,0.00084205,0.0012316,0.00073586,-2.2803e-05,1.4162e-06
-6.1232e-17,0.63439,0.54551,-0.0035905,-0.00025597,0.0029794,0.00085865,0.0012764,0.00076394,-2.5009e-05,1.637e-06
-6.1232e-17,0.65935,0.53835,-0.0036224,-0.00019442,0.0031869,0.00086987,0.0013179,0.00078911,-2.7652e-05,1.1037e-06
-6.1232e-17,0.68359,0.53092,-0.003588,-0.00012704,0.0034188,0.00087444,0.0013533,0.00081228,-3.1424e-05,-1.0237e-07
-6.1232e-17,0.70711,0.52316,-0.0034874,-7.6808e-05,0.003685,0.00087116,0.0013785,0.00083398,-3.5077e-05,-1.8589e-06
-6.1232e-17,0.72986,0.51501,-0.0033243,-6.9625e-05,0.0039942,0.0008589,0.0013929,0.00085381,-3.7181e-05,-4.3989e-06
-6.1232e-17,0.75184,0.50636,-0.0031026,-0.00011017,0.004347,0.00083679,0.0014003,0.00087092,-3.8837e-05,-7.1406e-06
-6.1232e-17,0.77301,0.49705,-0.0028274,-0.00019289,0.004745,0.00080433,0.0014029,0.00088436,-4.2544e-05,-9.2393e-06
-6.1232e-17,0.79335,0.48686,-0.0025118,-0.00031739,0.0051941,0.00076142,0.0014002,0.000893,-4.6368e-05,-1.0691e-05
-6.1232e-17,0.81285,0.47559,-0.0021736,-0.00047174,0.0056916,0.00070839,0.0013899,0.00089534,-4.903e-05,-1.1662e-05
-6.1232e-17,0.83147,0.46299,-0.001832,-0.00063823,0.0062259,0.00064573,0.0013691,0.00088965,-5.2344e-05,-1.2434e-05
-6.1232e-17,0.8492,0.44875,-0.001504,-0.00078907,0.0067816,0.00057481,0.0013364,0.00087436,-5.6859e-05,-1.2855e-05
-6.1232e-17,0.86603,0.43247,-0.001202,-0.00089325,0.0073342,0.00049781,0.0012911,0.00084794,-6.1507e-05,-1.2686e-05
-6.1232e-17,0.88192,0.41372,-0.00093573,-0.00093621,0.0078478,0.00041746,0.0012316,0.00080836,-6.7084e-05,-1.1768e-05
-6.1232e-17,0.89687,0.39202,-0.00071297,-0.00092131,0.008266,0.00033711,0.0011558,0.00075345,-7.5142e-05,-1.005e-05
-6.1232e-17,0.91086,0.36689,-0.00053535,-0.00085817,0.0085078,0.0002607,0.0010639,0.00068125,-8.4428e-05,-7.6747e-06
-6.1232e-17,0.92388,0.33792,-0.00039729,-0.00075563,0.0084717,0.00019191,0.00095847,0.00059092,-9.0031e-05,-5.05e-06
-6.1232e-17,0.93591,0.30493,-0.00029012,-0.00062307,0.0080564,0.00013343,0.00084335,0.00048439,-8.7365e-05,-2.6499e-06
-6.1232e-17,0.94693,0.26818,-0.00020624,-0.00047349,0.0071985,8.6682e-05,0.00072197,0.00036804,-7.5564e-05,-8.7721e-07
-6.1232e-17,0.95694,0.22858,-0.00014087,-0.00032559,0.0059301,5.1802e-05,0.00059741,0.00025322,-5.7526e-05,1.2703e-07
-6.1232e-17,0.96593,0.18774,-9.1281e-05,-0.00019634,0.0044173,2.784e-05,0.00047252,0.00015372,-3.804e-05,4.8825e-07
-6.1232e-17,0.97388,0.14769,-5.5327e-05,-9.6177e-05,0.0029249,1.303e-05,0.00035055,8.0075e-05,-2.154e-05,4.5969e-07
-6.1232e-17,0.98079,0.11045,-3.0727e-05,-2.8518e-05,0.0016975,5.0718e-06,0.0002371,3.4741e-05,-1.0386e-05,2.8847e-07
-6.1232e-17,0.98664,0.07755,-1.5156e-05,8.8652e-06,0.00084905,1.5338e-06,0.00014052,1.2092e-05,-4.2606e-06,1.3299e-07
-6.1232e-17,0.99144,0.049976,-6.3103e-06,2.2338e-05,0.00035345,3.232e-07,6.8847e-05,3.1773e-06,-1.4671e-06,4.4113e-08
-6.1232e-17,0.99518,0.028238,-2.0197e-06,2.0374e-05,0.00011273,3.8995e-08,2.5215e-05,5.5649e-07,-3.9693e-07,9.3903e-09
-6.1232e-17,0.99786,0.012587,-4.018e-07,1.1638e-05,2.2393e-05,1.7493e-09,5.5534e-06,4.7907e-08,-6.9314e-08,9.3883e-10
-6.1232e-17,0.99946,0.0031521,-2.5205e-08,3.3036e-06,1.406e-06,1.8067e-11,3.7265e-07,7.389e-10,-4.0007e-09,1.7139e-11
-6.1232e-17,1,0,-5.3565e-17,-3.4665e-09,2.5509e-11,8.0997e-31,1.6848e-11,7.7198e-23,-1.5692e-13,7.9314e-24
0.032719,-6.1232e-17,0.6383,-7.6091e-05,0.00023695,0.00078561,0.00048464,0.00048953,5.4653e-06,2.3458e-05,-3.4591e-07
0.032719,0.032719,0.63791,-5.6284e-05,0.0002533,0.00079068,0.0004877,0.00049379,3.7293e-05,2.3201e-05,-1.5936e-06
0.032719,0.065403,0.63706,-3.6656e-05,0.00026155,0.00080699,0.00049258,0.00050173,6.9962e-05,2.3253e-05,-2.6223e-06
0.032719,0.098017,0.63575,-2.8737e-05,0.00026708,0.00083539,0.00049894,0.00051224,0.00010351,2.2793e-05,-3.5535e-06
0.032719,0.13053,0.63399,-4.3651e-05,0.00028203,0.00087694,0.00050668,0.0005258,0.00013781,2.1084e-05,-4.5989e-06
0.032719,0.1629,0.63176,-9.2497e-05,0.00030452,0.00093254,0.00051618,0.00054492,0.0001729,1.8309e-05,-5.9125e-06
0.032719,0.19509,0.62907,-0.00017805,0.00032459,0.0010021,0.00052789,0.00057001,0.00020868,1.5405e-05,-7.1762e-06
0.032719,0.22708,0.6259,-0.00029681,0.00034274,0.0010842,0.00054185,0.00059965,0.00024489,1.3346e-05,-8.1059e-06
0.032719,0.25882,0.62226,-0.00044501,0.00037616,0.0011761,0.0005576,0.0006336,0.00028159,1.2184e-05,-8.8088e-06
0.032719,0.29028,0.61815,-0.00062356,0.00043155,0.0012761,0.00057483,0.00067173,0.00031902,1.0031e-05,-9.4205e-06
0.032719,0.32144,0.61362,-0.0008319,0.000484,0.0013833,0.00059378,0.00071414,0.00035766,6.7657e-06,-9.7903e-06
0.032719,0.35225,0.60871,-0.0010597,0.00050905,0.0014972,0.00061445,0.00076006,0.00039738,3.4452e-06,-1.0041e-05
0.032719,0.38268,0.60343,-0.0013003,0.00048715,0.001616,0.00063648,0.00080848,0.00043738,6.4741e-07,-1.0097e-05
0.032719,0.41271,0.59784,-0.0015544,0.00040683,0.0017375,0.00065987,0.00086036,0.0004769,-1.3185e-06,-9.7433e-06
0.032719,0.44229,0.59195,-0.0018193,0.00027947,0.0018636,0.00068495,0.00091528,0.00051573,-2.6577e-06,-9.0136e-06
0.032719,0.4714,0.58578,-0.002091,0.00013352,0.0019967,0.00071159,0.00097114,0.000554,-4.1222e-06,-7.9277e-06
0.032719,0.5,0.5794,-0.002362,5.8721e-06,0.0021372,0.00073902,0.0010262,0.00059205,-7.1676e-06,-6.2878e-06
0.032719,0.52807,0.57286,-0.0026223,-8.2187e-05,0.0022847,0.00076634,0.0010798,0.00062997,-1.1514e-05,-4.4356e-06
0.032719,0.55557,0.56621,-0.0028594,-0.00012685,0.0024397,0.00079272,0.0011323,0.00066727,-1.645e-05,-3.1146e-06
0.032719,0.58248,0.55946,-0.0030577,-0.00014323,0.0026054,0.00081711,0.0011823,0.00070324,-2.1109e-05,-2.5488e-06
0.032719,0.60876,0.55262,-0.0032081,-0.00015083,0.0027843,0.00083844,0.0012299,0.00073695,-2.4517e-05,-2.1418e-06
0.032719,0.63439,0.54563,-0.0033104,-0.00016534,0.0029801,0.0008556,0.0012757,0.00076799,-2.7592e-05,-2.2203e-06
0.032719,0.65935,0.53845,-0.0033597,-0.00018299,0.0031971,0.00086748,0.001318,0.00079655,-3.1501e-05,-2.9301e-06
0.032719,0.68359,0.53102,-0.0033477,-0.00020729,0.0034377,0.00087312,0.001354,0.00082273,-3.7001e-05,-4.1016e-06
0.032719,0.70711,0.52327,-0.0032666,-0.00025476,0.0037095,0.00087146,0.0013806,0.00084637,-4.2569e-05,-5.8399e-06
0.032719,0.72986,0.51512,-0.0031198,-0.00034184,0.0040213,0.00086094,0.0013971,0.00086791,-4.717e-05,-8.5093e-06
0.032719,0.75184,0.50643,-0.0029143,-0.00047919,0.0043767,0.00084017,0.0014056,0.00088763,-5.1227e-05,-1.1599e-05
0.032719,0.77301,0.49707,-0.002656,-0.00065273,0.0047786,0.00080852,0.0014086,0.00090357,-5.5018e-05,-1.4312e-05
0.032719,0.79335,0.48683,-0.00236,-0.00084484,0.0052327,0.00076586,0.0014058,0.00091335,-5.6786e-05,-1.6093e-05
0.032719,0.81285,0.47549,-0.0020475,-0.0010386,0.005739,0.00071257,0.0013954,0.00091602,-5.6469e-05,-1.6279e-05
0.032719,0.83147,0.46281,-0.001736,-0.0012167,0.0062886,0.00064979,0.0013754,0.00091043,-5.5638e-05,-1.5247e-05
0.032719,0.8492,0.44845,-0.0014409,-0.0013553,0.0068631,0.00057873,0.0013441,0.00089464,-5.5076e-05,-1.3839e-05
0.032719,0.86603,0.43207,-0.0011737,-0.0014275,0.0074323,0.00050127,0.0012997,0.00086671,-5.4703e-05,-1.2497e-05
0.032719,0.88192,0.41321,-0.00094197,-0.0014193,0.0079581,0.00042028,0.0012396,0.00082545,-5.5757e-05,-1.1211e-05
0.032719,0.89687,0.39142,-0.00074795,-0.0013417,0.0083859,0.00033941,0.0011623,0.00076908,-5.9442e-05,-9.6861e-06
0.032719,0.91086,0.36622,-0.00058854,-0.001217,0.008633,0.00026252,0.0010687,0.0006949,-6.479e-05,-7.863e-06
0.032719,0.92388,0.33722,-0.00045819,-0.0010631,0.008597,0.00019326,0.00096215,0.00060161,-6.8378e-05,-5.9612e-06
0.032719,0.93591,0.30423,-0.00035074,-0.00089165,0.0081744,0.00013437,0.00084644,0.00049151,-6.6647e-05,-4.1354e-06
0.032719,0.94693,0.26752,-0.00026132,-0.00071272,0.0072997,8.7301e-05,0.00072493,0.0003719,-5.8432e-05,-2.5209e-06
0.032719,0.95694,0.22799,-0.00018711,-0.00053827,0.0060073,5.2171e-05,0.00060052,0.00025478,-4.5438e-05,-1.3133e-06
0.032719,0.96593,0.18725,-0.00012705,-0.00038106,0.0044696,2.8031e-05,0.00047566,0.00015404,-3.1026e-05,-5.8016e-07
0.032719,0.97388,0.1473,-8.0489e-05,-0.00025094,0.0029567,1.3112e-05,0.00035342,7.9929e-05,-1.8363e-05,-2.0742e-07
0.032719,0.98079,0.11015,-4.6605e-05,-0.00015197,0.0017146,5.1005e-06,0.00023938,3.4526e-05,-9.324e-06,-4.9316e-08
0.032719,0.98664,0.077344,-2.3903e-05,-8.3155e-05,0.00085702,1.542e-06,0.00014204,1.1957e-05,-4.0286e-06,2.9178e-10
0.032719,0.99144,0.049844,-1.0317e-05,-4.005e-05,0.00035662,3.2499e-07,6.9654e-05,3.1256e-06,-1.454e-06,6.0493e-09
0.032719,0.99518,0.028163,-3.402e-06,-1.6314e-05,0.00011373,3.9227e-08,2.5527e-05,5.4493e-07,-4.0992e-07,2.299e-09
0.032719,0.99786,0.012554,-6.9281e-07,-5.1893e-06,2.259e-05,1.7603e-09,5.6247e-06,4.6742e-08,-7.4137e-08,3.0208e-10
0.032719,0.99946,0.0031438,-4.4055e-08,-9.83e-07,1.4184e-06,1.8168e-11,3.7755e-07,7.1991e-10,-4.3837e-09,5.9266e-12
0.032719,1,0,-5.0817e-17,-2.1051e-09,2.5811e-11,8.1284e-31,1.7237e-11,7.9277e-23,-1.3586e-13,-1.4122e-24
0.065403,-6.1232e-17,0.63765,-3.7664e-05,0.00021884,0.00079948,0.00049094,0.00049329,5.4016e-06,5.546e-05,-9.5113e-07
0.065403,0.032719,0.63727,-8.7565e-06,0.00022557,0.00080435,0.00049351,0.00049725,3.6442e-05,5.4442e-05,-3.1738e-06
0.065403,0.065403,0.63643,2.4563e-05,0.00023888,0.00081982,0.00049794,0.0005048,6.8423e-05,5.3404e-05,-4.835e-06
0.065403,0.098017,0.63514,4.7252e-05,0.00026088,0.0008467,0.0005041,0.00051527,0.00010156,5.2055e-05,-6.0326e-06
0.065403,0.13053,0.6334,4.9574e-05,0.0003028,0.00088623,0.00051197,0.00052905,0.00013561,4.9632e-05,-7.535e-06
0.065403,0.1629,0.63121,2.3221e-05,0.00036174,0.00093894,0.00052145,0.00054804,0.00017021,4.6119e-05,-9.5933e-06
0.065403,0.19509,0.62858,-4.1288e-05,0.00042101,0.0010047,0.0005327,0.00057254,0.00020509,4.2442e-05,-1.1691e-05
0.065403,0.22708,0.62548,-0.00014544,0.0004743,0.0010829,0.00054592,0.00060142,0.00024034,3.9234e-05,-1.3274e-05
0.065403,0.25882,0.62191,-0.00028277,0.0005381,0.0011714,0.00056093,0.00063465,0.00027647,3.6515e-05,-1.4141e-05
0.065403,0.29028,0.6179,-0.00044459,0.00062284,0.0012679,0.00057769,0.00067196,0.0003135,3.2517e-05,-1.4677e-05
0.065403,0.32144,0.61345,-0.00062702,0.00070102,0.0013714,0.00059633,0.00071345,0.00035125,2.679e-05,-1.5189e-05
0.065403,0.35225,0.60861,-0.00082616,0.00074288,0.0014819,0.00061684,0.00075836,0.00038995,2.0949e-05,-1.5209e-05
0.065403,0.38268,0.60341,-0.0010365,0.00073656,0.0015977,0.00063877,0.0008058,0.00042931,1.6102e-05,-1.4748e-05
0.065403,0.41271,0.59789,-0.0012589,0.00067452,0.0017177,0.00066186,0.00085698,0.00046869,1.2057e-05,-1.4236e-05
0.065403,0.44229,0.59206,-0.0014978,0.00056717,0.0018441,0.0006862,0.00091123,0.00050799,8.6e-06,-1.3641e-05
0.065403,0.4714,0.58595,-0.0017532,0.00043678,0.0019781,0.00071168,0.00096601,0.00054716,4.6625e-06,-1.2258e-05
0.065403,0.5,0.57962,-0.0020165,0.00031241,0.0021191,0.00073791,0.0010203,0.000586,-1.1318e-06,-1.0062e-05
